id,week,ro_number,tech_initials,category,action_taken,operation_group,build_type,date_reviewed,labor_hours_billed,labor_hours_correct,parts_cost,total_estimated_cost,high_cost_flag,notes,labor_rate,labor_cost_billed,labor_cost_correct,cost_overcharge,issue_severity,action_quality,severity_score,op_risk_bucket
100,5,2343304,GM,Incorrect Labor Time,No Action,Brakes,Production,2/1/2025,2.3,1.6,123.03,330.03,No,Used full R&R rotor and pad labor instead of combo labor (0.5/0.3).,90,207,144,63,Low,Unaddressed,1,High-Risk
101,5,2343303,SS,Unnecessary Repair,Adjusted Labor,TPMS,Production,1/31/2025,2.8,2.1,436.46,688.46,Yes,TPMS diag 3.0 with no faults found; tire pressure was low only.,90,252,189,63,Low,Corrected,1,Low-Risk
102,5,2343323,JD,Incorrect Labor Time,No Action,TPMS,Retail,1/31/2025,2.8,2.1,196.86,448.86,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,252,189,63,Low,Unaddressed,1,Low-Risk
103,4,2343241,DF,High Cost Repair,Coaching Only,Engine,Production,1/26/2025,4.1,3.4,4.88,373.88,Yes,High cost engine repair; multiple overlapping labor lines on same concern.,90,369,306,63,Low,Other,1,Low-Risk
104,7,2343441,SS,Overlapping Labor,Adjusted Labor,Noise / Rattle,Retail,2/13/2025,4.1,3.4,244.6,613.6,No,Overlapping Labor on Noise / Rattle work; review labor guide and WIP usage.,90,369,306,63,Low,Corrected,1,Low-Risk
105,2,2343129,RB,Unnecessary Repair,Adjusted Labor,TPMS,Retail,1/10/2025,1.3,0.7,335.92,452.92,No,TPMS diag 2.4 with no faults found; tire pressure was low only.,90,117,63,54,Low,Corrected,1,Low-Risk
106,1,2343025,TB,Overlapping Labor,Adjusted Labor,Electrical,Production,1/6/2025,3.1,2.5,234.03,513.03,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,279,225,54,Low,Corrected,1,High-Risk
107,2,2343096,TB,Unnecessary Repair,No Action,Engine,Retail,1/8/2025,3.8,3.2,83.93,425.93,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,342,288,54,Low,Unaddressed,1,Low-Risk
108,3,2343162,SS,Overlapping Labor,No Action,Brakes,Production,1/18/2025,4,3.4,169.01,529.01,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,360,306,54,Low,Unaddressed,1,High-Risk
109,4,2343257,CM,Overlapping Labor,Adjusted Labor,Electrical,Retail,1/23/2025,0.9,0.3,278.2,359.2,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,High-Risk
110,5,2343342,CM,Unnecessary Repair,Coaching Only,Alignment,Production,1/29/2025,0.9,0.3,81.85,162.85,No,Unnecessary Repair on Alignment work; review labor guide and WIP usage.,90,81,27,54,Low,Other,1,Low-Risk
111,6,2343412,CM,Unnecessary Repair,No Action,AC / HVAC,Retail,2/6/2025,4.5,3.9,364.44,769.44,Yes,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,405,351,54,Low,Unaddressed,1,Low-Risk
112,7,2343449,MM,High Cost Repair,Adjusted Labor,Electrical,Retail,2/18/2025,0.9,0.3,111.82,192.82,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,High-Risk
113,7,2343465,FF,High Cost Repair,Declined,Maintenance,Retail,2/12/2025,0.9,0.3,227.65,308.65,Yes,High Cost Repair on Maintenance work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,Low-Risk
114,7,2343490,RL,Unnecessary Repair,No Action,Diagnostics,Retail,2/14/2025,4.2,3.6,156.13,534.13,No,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,378,324,54,Low,Unaddressed,1,Low-Risk
115,8,2343551,AL,Incorrect Labor Time,Adjusted Labor,Brakes,Production,2/19/2025,0.9,0.3,442.98,523.98,No,Used full R&R rotor and pad labor instead of combo labor (2.0/1.6).,90,81,27,54,Low,Corrected,1,High-Risk
116,2,2343142,KC,Overlapping Labor,No Action,Engine,Retail,1/14/2025,3.3,2.8,10.94,307.94,No,Overlapping Labor on Engine work; review labor guide and WIP usage.,90,297,252,45,Low,Unaddressed,1,Low-Risk
117,4,2343249,KG,Incorrect Labor Time,Declined,AC / HVAC,Production,1/24/2025,2.2,1.7,147.9,345.9,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,198,153,45,Low,Corrected,1,Low-Risk
118,6,2343437,RB,Unnecessary Repair,No Action,Noise / Rattle,Production,2/9/2025,2.2,1.7,336.42,534.42,No,Unnecessary Repair on Noise / Rattle work; review labor guide and WIP usage.,90,198,153,45,Low,Unaddressed,1,Low-Risk
119,1,2343010,CM,Overlapping Labor,Adjusted Labor,Electrical,Retail,1/2/2025,1.1,0.6,236.14,335.14,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,99,54,45,Low,Corrected,1,High-Risk
120,1,2343035,SB,Incorrect Labor Time,No Action,Steering,Retail,1/2/2025,1.9,1.4,372.93,543.93,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,171,126,45,Low,Unaddressed,1,Low-Risk
121,4,2343274,CH,Unnecessary Repair,Declined,Steering,Production,1/26/2025,1.9,1.4,390.87,561.87,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,171,126,45,Low,Corrected,1,Low-Risk
122,7,2343518,AL,Unnecessary Repair,Adjusted Labor,Suspension,Production,2/14/2025,1.9,1.4,289.8,460.8,No,Unnecessary Repair on Suspension work; review labor guide and WIP usage.,90,171,126,45,Low,Corrected,1,Low-Risk
123,8,2343529,CH,Unnecessary Repair,No Action,Alignment,Production,2/23/2025,1.2,0.7,403.35,511.35,No,Unnecessary Repair on Alignment work; review labor guide and WIP usage.,90,108,63,45,Low,Unaddressed,1,Low-Risk
124,1,2343020,KM,High Cost Repair,Adjusted Labor,Electrical,Production,1/2/2025,3.7,3.2,43.95,376.95,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,333,288,45,Low,Corrected,1,High-Risk
125,1,2343023,JG,Unnecessary Repair,Adjusted Labor,Diagnostics,Production,1/5/2025,0.8,0.3,15.47,87.47,No,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,72,27,45,Low,Corrected,1,Low-Risk
126,1,2343051,RN,Incorrect Labor Time,Coaching Only,Maintenance,Retail,1/5/2025,0.8,0.3,342.35,414.35,No,Retail diagnostic labor (2.1/0.9) used instead of production WIP line.,90,72,27,45,Low,Other,1,Low-Risk
127,2,2343077,RB,Overlapping Labor,Adjusted Labor,Brakes,Production,1/12/2025,4.3,3.8,223.76,610.76,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,387,342,45,Low,Corrected,1,High-Risk
128,4,2343227,KG,High Cost Repair,Declined,Steering,Production,1/28/2025,3.7,3.2,79.85,412.85,Yes,High Cost Repair on Steering work; review labor guide and WIP usage.,90,333,288,45,Low,Corrected,1,Low-Risk
129,4,2343272,RL,Unnecessary Repair,Coaching Only,Steering,Production,1/27/2025,0.8,0.3,335.72,407.72,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,72,27,45,Low,Other,1,Low-Risk
130,4,2343223,MM,Incorrect Labor Time,Adjusted Labor,Electrical,Retail,1/28/2025,0.8,0.3,283.02,355.02,No,Full R&R door panel labor used instead of R&I for switch access (3.1/1.9).,90,72,27,45,Low,Corrected,1,High-Risk
131,6,2343347,AD,Incorrect Labor Time,No Action,Diagnostics,Production,2/8/2025,1,0.5,79.65,169.65,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,90,45,45,Low,Unaddressed,1,Low-Risk
132,6,2343382,AD,Incorrect Labor Time,No Action,Alignment,Production,2/8/2025,0.8,0.3,163.39,235.39,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,72,27,45,Low,Unaddressed,1,Low-Risk
133,6,2343398,DF,Unnecessary Repair,Adjusted Labor,Maintenance,Production,2/5/2025,3.7,3.2,76.9,409.9,No,Added separate labor to remove under shield in addition to oil change line.,90,333,288,45,Low,Corrected,1,Low-Risk
134,6,2343408,FF,Unnecessary Repair,No Action,Maintenance,Production,2/10/2025,2.9,2.4,261.56,522.56,No,Added separate labor to remove under shield in addition to oil change line.,90,261,216,45,Low,Unaddressed,1,Low-Risk
135,7,2343446,RB,Overlapping Labor,No Action,Steering,Production,2/17/2025,0.8,0.3,282.47,354.47,No,Overlapping Labor on Steering work; review labor guide and WIP usage.,90,72,27,45,Low,Unaddressed,1,Low-Risk
136,7,2343458,SS,Overlapping Labor,Adjusted Labor,TPMS,Production,2/13/2025,0.8,0.3,57.37,129.37,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,72,27,45,Low,Corrected,1,Low-Risk
137,8,2343541,RB,Incorrect Labor Time,No Action,Alignment,Production,2/25/2025,2.1,1.6,426.8,615.8,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,189,144,45,Low,Unaddressed,1,Low-Risk
138,8,2343540,AL,Overlapping Labor,Adjusted Labor,TPMS,Production,2/21/2025,2.8,2.3,280.87,532.87,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,252,207,45,Low,Corrected,1,Low-Risk
139,6,2343350,CS,Overlapping Labor,No Action,AC / HVAC,Production,2/7/2025,2.2,1.8,163.92,361.92,No,Overlapping Labor on AC / HVAC work; review labor guide and WIP usage.,90,198,162,36,Low,Unaddressed,1,Low-Risk
140,6,2343360,ZT,Incorrect Labor Time,No Action,Suspension,Production,2/6/2025,1.1,0.7,166.71,265.71,No,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,99,63,36,Low,Unaddressed,1,Low-Risk
141,1,2343040,KM,High Cost Repair,Adjusted Labor,Engine,Production,1/7/2025,3.5,3.1,2.48,317.48,Yes,High cost engine repair; multiple overlapping labor lines on same concern.,90,315,279,36,Low,Corrected,1,Low-Risk
142,1,2343074,KM,Unnecessary Repair,Adjusted Labor,Engine,Production,1/1/2025,2.1,1.7,53.94,242.94,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,189,153,36,Low,Corrected,1,Low-Risk
143,1,2343014,LP,Incorrect Labor Time,Adjusted Labor,Maintenance,Retail,1/3/2025,3.6,3.2,231.41,555.41,No,Retail diagnostic labor (2.2/1.9) used instead of production WIP line.,90,324,288,36,Low,Corrected,1,Low-Risk
144,5,2343320,RN,Unnecessary Repair,Declined,Suspension,Retail,1/30/2025,3.3,2.9,61.37,358.37,No,Unnecessary Repair on Suspension work; review labor guide and WIP usage.,90,297,261,36,Low,Corrected,1,Low-Risk
145,6,2343387,AD,Incorrect Labor Time,No Action,Electrical,Retail,2/8/2025,0.9,0.5,72.31,153.31,No,Full R&R door panel labor used instead of R&I for switch access (0.9/0.3).,90,81,45,36,Low,Unaddressed,1,High-Risk
146,7,2343460,RL,Overlapping Labor,Coaching Only,Diagnostics,Production,2/14/2025,0.9,0.5,325.01,406.01,No,"Multiple diag lines (ABS, lane departure, CEL) for same root cause issue.",90,81,45,36,Low,Other,1,Low-Risk
147,2,2343117,RN,Unnecessary Repair,Declined,Alignment,Retail,1/8/2025,0.7,0.3,405.19,468.19,No,Unnecessary Repair on Alignment work; review labor guide and WIP usage.,90,63,27,36,Low,Corrected,1,Low-Risk
148,4,2343262,RN,High Cost Repair,Adjusted Labor,TPMS,Retail,1/27/2025,0.7,0.3,168.42,231.42,Yes,High Cost Repair on TPMS work; review labor guide and WIP usage.,90,63,27,36,Low,Corrected,1,Low-Risk
149,4,2343239,CH,Incorrect Labor Time,Adjusted Labor,Steering,Production,1/27/2025,0.7,0.3,227.36,290.36,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,63,27,36,Low,Corrected,1,Low-Risk
150,6,2343379,CH,Incorrect Labor Time,No Action,Brakes,Retail,2/10/2025,0.7,0.3,264.08,327.08,No,Used full R&R rotor and pad labor instead of combo labor (2.7/1.9).,90,63,27,36,Low,Unaddressed,1,High-Risk
151,8,2343587,JG,Overlapping Labor,No Action,Alignment,Retail,2/20/2025,0.7,0.3,61.57,124.57,No,Added separate alignment line on top of steering component labor that already includes alignment.,90,63,27,36,Low,Unaddressed,1,Low-Risk
152,2,2343086,JG,Incorrect Labor Time,Declined,Interior,Production,1/13/2025,4.1,3.7,65.2,434.2,No,Incorrect Labor Time on Interior work; review labor guide and WIP usage.,90,369,333,36,Low,Corrected,1,Low-Risk
153,1,2343037,LP,Incorrect Labor Time,Adjusted Labor,Suspension,Production,1/4/2025,2.6,2.3,360.99,594.99,No,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,234,207,27,Low,Corrected,1,Low-Risk
154,7,2343513,RL,Unnecessary Repair,No Action,Electrical,Production,2/14/2025,2.7,2.4,81.87,324.87,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,243,216,27,Low,Unaddressed,1,High-Risk
155,1,2343013,JC,Unnecessary Repair,Adjusted Labor,Alignment,Production,1/7/2025,2.9,2.6,131.47,392.47,No,Unnecessary Repair on Alignment work; review labor guide and WIP usage.,90,261,234,27,Low,Corrected,1,Low-Risk
156,1,2343063,KM,Unnecessary Repair,No Action,Diagnostics,Retail,1/4/2025,1.5,1.2,418.36,553.36,No,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,135,108,27,Low,Unaddressed,1,Low-Risk
157,1,2343019,JG,Incorrect Labor Time,No Action,TPMS,Retail,1/3/2025,2.9,2.6,29.27,290.27,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,261,234,27,Low,Unaddressed,1,Low-Risk
158,5,2343331,AL,Unnecessary Repair,Adjusted Labor,AC / HVAC,Production,2/2/2025,4.3,4,416.96,803.96,Yes,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,387,360,27,Low,Corrected,1,Low-Risk
159,6,2343426,RN,Unnecessary Repair,No Action,Diagnostics,Retail,2/8/2025,3.8,3.5,357.87,699.87,Yes,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,342,315,27,Low,Unaddressed,1,Low-Risk
160,6,2343421,DF,Incorrect Labor Time,Adjusted Labor,Noise / Rattle,Production,2/10/2025,4.2,3.9,29.92,407.92,No,Incorrect Labor Time on Noise / Rattle work; review labor guide and WIP usage.,90,378,351,27,Low,Corrected,1,Low-Risk
161,7,2343473,JC,Unnecessary Repair,No Action,Brakes,Production,2/17/2025,3.3,3,259.33,556.33,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,297,270,27,Low,Unaddressed,1,High-Risk
162,7,2343499,LP,Incorrect Labor Time,Adjusted Labor,TPMS,Production,2/14/2025,0.6,0.3,94.46,148.46,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,54,27,27,Low,Corrected,1,Low-Risk
163,8,2343566,RB,Incorrect Labor Time,Adjusted Labor,Engine,Production,2/20/2025,0.6,0.3,110.41,164.41,No,Incorrect Labor Time on Engine work; review labor guide and WIP usage.,90,54,27,27,Low,Corrected,1,Low-Risk
164,6,2343393,ZT,High Cost Repair,Adjusted Labor,TPMS,Production,2/5/2025,4.4,4.2,179.04,575.04,Yes,High Cost Repair on TPMS work; review labor guide and WIP usage.,90,396,378,18,Low,Corrected,1,Low-Risk
165,2,2343120,CH,Overlapping Labor,Declined,AC / HVAC,Retail,1/13/2025,3,2.8,72.73,342.73,No,Overlapping Labor on AC / HVAC work; review labor guide and WIP usage.,90,270,252,18,Low,Corrected,1,Low-Risk
166,1,2343033,KG,Incorrect Labor Time,Adjusted Labor,Diagnostics,Production,1/3/2025,4.2,4,88.19,466.19,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,378,360,18,Low,Corrected,1,Low-Risk
167,2,2343082,RL,Unnecessary Repair,Declined,Electrical,Retail,1/13/2025,0.5,0.3,226.21,271.21,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,45,27,18,Low,Corrected,1,High-Risk
168,2,2343107,RL,Overlapping Labor,Adjusted Labor,AC / HVAC,Production,1/12/2025,1.7,1.5,416.11,569.11,No,Overlapping Labor on AC / HVAC work; review labor guide and WIP usage.,90,153,135,18,Low,Corrected,1,Low-Risk
169,3,2343165,RB,High Cost Repair,Coaching Only,Brakes,Production,1/18/2025,0.5,0.3,244.19,289.19,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,45,27,18,Low,Other,1,High-Risk
170,3,2343172,KG,High Cost Repair,Adjusted Labor,TPMS,Production,1/19/2025,0.5,0.3,243.29,288.29,Yes,High Cost Repair on TPMS work; review labor guide and WIP usage.,90,45,27,18,Low,Corrected,1,Low-Risk
171,3,2343195,KM,Overlapping Labor,Adjusted Labor,Brakes,Retail,1/16/2025,0.5,0.3,316.65,361.65,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,45,27,18,Low,Corrected,1,High-Risk
172,5,2343314,CH,Overlapping Labor,No Action,Brakes,Production,2/1/2025,1.8,1.6,302.21,464.21,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,162,144,18,Low,Unaddressed,1,High-Risk
173,5,2343319,KC,Overlapping Labor,Adjusted Labor,TPMS,Retail,2/2/2025,2,1.8,12.95,192.95,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,180,162,18,Low,Corrected,1,Low-Risk
174,6,2343354,TB,Unnecessary Repair,Adjusted Labor,Brakes,Retail,2/11/2025,0.5,0.3,282.56,327.56,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,45,27,18,Low,Corrected,1,High-Risk
175,7,2343497,JG,Overlapping Labor,Adjusted Labor,AC / HVAC,Retail,2/12/2025,2,1.8,448.59,628.59,No,Overlapping Labor on AC / HVAC work; review labor guide and WIP usage.,90,180,162,18,Low,Corrected,1,Low-Risk
176,6,2343358,ZT,Overlapping Labor,Adjusted Labor,Maintenance,Production,2/5/2025,4.2,4.1,124.59,502.59,No,Overlapping Labor on Maintenance work; review labor guide and WIP usage.,90,378,369,9,Low,Corrected,1,Low-Risk
177,7,2343504,AD,Unnecessary Repair,Declined,Diagnostics,Retail,2/18/2025,1.1,1,212.43,311.43,No,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,99,90,9,Low,Corrected,1,Low-Risk
178,1,2343007,TB,Unnecessary Repair,No Action,Engine,Retail,1/5/2025,0.4,0.3,374.6,410.6,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,36,27,9,Low,Unaddressed,1,Low-Risk
179,1,2343006,MM,Incorrect Labor Time,Adjusted Labor,TPMS,Retail,1/5/2025,1,0.9,389.78,479.78,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,90,81,9,Low,Corrected,1,Low-Risk
180,1,2343055,AL,Incorrect Labor Time,Adjusted Labor,Diagnostics,Production,1/1/2025,0.4,0.3,141.46,177.46,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,36,27,9,Low,Corrected,1,Low-Risk
181,3,2343170,CS,High Cost Repair,Adjusted Labor,Diagnostics,Retail,1/17/2025,0.4,0.3,370.17,406.17,Yes,High Cost Repair on Diagnostics work; review labor guide and WIP usage.,90,36,27,9,Low,Corrected,1,Low-Risk
182,3,2343180,FF,Incorrect Labor Time,No Action,Interior,Retail,1/17/2025,2.1,2,11.41,200.41,No,Incorrect Labor Time on Interior work; review labor guide and WIP usage.,90,189,180,9,Low,Unaddressed,1,Low-Risk
183,4,2343261,JD,Incorrect Labor Time,Adjusted Labor,Suspension,Production,1/27/2025,3.2,3.1,369.84,657.84,Yes,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,288,279,9,Low,Corrected,1,Low-Risk
184,4,2343278,DF,Incorrect Labor Time,No Action,Brakes,Production,1/28/2025,0.4,0.3,19.42,55.42,No,Used full R&R rotor and pad labor instead of combo labor (3.2/2.3).,90,36,27,9,Low,Unaddressed,1,High-Risk
185,5,2343301,LP,Incorrect Labor Time,No Action,Suspension,Production,2/4/2025,0.4,0.3,364.75,400.75,No,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,36,27,9,Low,Unaddressed,1,Low-Risk
186,5,2343339,RL,Incorrect Labor Time,Declined,Maintenance,Production,2/2/2025,1.3,1.2,58,175,No,Retail diagnostic labor (0.7/0.3) used instead of production WIP line.,90,117,108,9,Low,Corrected,1,Low-Risk
187,6,2343409,CH,High Cost Repair,No Action,Steering,Retail,2/6/2025,2.5,2.4,151.47,376.47,Yes,High Cost Repair on Steering work; review labor guide and WIP usage.,90,225,216,9,Low,Unaddressed,1,Low-Risk
188,6,2343374,JD,Incorrect Labor Time,No Action,Diagnostics,Retail,2/9/2025,0.4,0.3,95.15,131.15,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,36,27,9,Low,Unaddressed,1,Low-Risk
189,7,2343496,AL,Incorrect Labor Time,No Action,TPMS,Production,2/13/2025,0.4,0.3,80.12,116.12,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,36,27,9,Low,Unaddressed,1,Low-Risk
190,8,2343549,CM,Unnecessary Repair,No Action,AC / HVAC,Retail,2/19/2025,0.4,0.3,243.74,279.74,No,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,36,27,9,Low,Unaddressed,1,Low-Risk
191,4,2343279,RB,High Cost Repair,Adjusted Labor,Electrical,Production,1/25/2025,4.5,4.4,249.23,654.23,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,405,396,9,Low,Corrected,1,High-Risk
192,5,2343283,FF,Overlapping Labor,Adjusted Labor,TPMS,Production,1/29/2025,4.1,4,126.43,495.43,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,369,360,9,Low,Corrected,1,Low-Risk
193,2,2343098,RN,Incorrect Labor Time,Declined,Alignment,Production,1/9/2025,3.1,3.1,230.44,509.44,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,279,279,0,None,Corrected,0,Low-Risk
194,2,2343123,KM,Incorrect Labor Time,Adjusted Labor,Steering,Production,1/14/2025,0.3,0.3,298.58,325.58,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,27,27,0,None,Corrected,0,Low-Risk
195,3,2343206,JC,Incorrect Labor Time,No Action,Steering,Production,1/19/2025,3,3,263.6,533.6,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,270,270,0,None,Unaddressed,0,Low-Risk
196,4,2343218,RL,Overlapping Labor,Adjusted Labor,TPMS,Retail,1/24/2025,0.7,0.7,42.5,105.5,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,63,63,0,None,Corrected,0,Low-Risk
197,4,2343268,JG,Incorrect Labor Time,No Action,TPMS,Production,1/22/2025,2.4,2.4,210.9,426.9,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,216,216,0,None,Unaddressed,0,Low-Risk
198,7,2343489,GM,Incorrect Labor Time,Adjusted Labor,Brakes,Production,2/15/2025,3.7,3.7,150.07,483.07,No,Used full R&R rotor and pad labor instead of combo labor (1.6/0.7).,90,333,333,0,None,Corrected,0,High-Risk
199,8,2343534,TB,Incorrect Labor Time,Adjusted Labor,AC / HVAC,Production,2/25/2025,1.2,1.2,81.65,189.65,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,108,108,0,None,Corrected,0,Low-Risk
200,8,2343552,LP,Incorrect Labor Time,Adjusted Labor,Electrical,Retail,2/21/2025,1.4,1.4,411.43,537.43,No,Full R&R door panel labor used instead of R&I for switch access (0.7/0.3).,90,126,126,0,None,Corrected,0,High-Risk
201,8,2343556,RB,Incorrect Labor Time,Adjusted Labor,Suspension,Production,2/20/2025,0.3,0.3,405.01,432.01,No,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,27,27,0,None,Corrected,0,Low-Risk
